instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;687619;7;5821;5876.58;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;687619;8;5821;5876.58;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;687619;9;5829;5866.2975;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;354135;7;5824;5875.0525;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;354135;8;5817;5870.155;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;354135;9;5800;5850.5575;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;839113;7;5807;5877.3025;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;839113;8;5807;5877.3025;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;839113;9;5807;5873.59;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;123452;7;5817;5868.8325;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;123452;8;5817;5868.8325;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;123452;9;5807;5853.1775;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;4354512;7;5823;5869.1475;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;4354512;8;5823;5869.1475;;;;;;;;;;
t_j100_m10.txt;0.4;0.75;180;4354512;9;5812;5852.0575;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;12345;7;6516;6591.8525;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;12345;8;6516;6591.8525;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;12345;9;6515;6564.3725;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;435451;7;6506;6567.8075;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;435451;8;6506;6567.8075;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;435451;9;6514;6566.655;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;56162;7;6510;6567.0375;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;56162;8;6510;6567.0375;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;56162;9;6496;6554.595;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;68813;7;6506;6562.885;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;68813;8;6514;6559.285;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;68813;9;6505;6552.1825;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;368387;7;6515;6579.335;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;368387;8;6515;6579.335;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;368387;9;6512;6565.07;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;687619;7;6519;6597.065;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;687619;8;6519;6594.8525;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;687619;9;6498;6550.2025;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;354135;7;6500;6555.17;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;354135;8;6500;6555.17;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;354135;9;6500;6544.945;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;839113;7;6517;6582.4;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;839113;8;6515;6578.7775;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;839113;9;6510;6568.92;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;123452;7;6510;6590.7325;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;123452;8;6510;6583.4525;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;123452;9;6511;6575.225;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;4354512;7;6555;6618.505;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;4354512;8;6549;6614.46;;;;;;;;;;
t_j100_m20.txt;0.4;0.75;180;4354512;9;6533;6588.9825;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;12345;7;10953;11046.1475;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;12345;8;10953;11046.1475;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;12345;9;10935;11027.9925;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;435451;7;10953;11064.0275;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;435451;8;10953;11064.0275;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;435451;9;10952;11056.4675;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;56162;7;10942;11069.2675;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;56162;8;10942;11069.2675;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;56162;9;10942;11068.8175;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;68813;7;10952;11069.5925;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;68813;8;10952;11069.5925;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;68813;9;10952;11069.5925;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;368387;7;10967;11078.5425;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;368387;8;10967;11078.5425;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;368387;9;10967;11075.3925;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;687619;7;10965;11110.8425;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;687619;8;10965;11110.8425;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;687619;9;10953;11061.655;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;354135;7;10934;11036.105;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;354135;8;10934;11036.105;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;354135;9;10934;11035.9925;;;;;;;;;;
t_j200_m10.txt;0.4;0.75;180;839113;7;10991;11127.38;;;;;;;;;;
